Date,INFY,MARUTI,RELIANCE,SUNPHARMA,TCS,BPCL
30-01-2013,348.831238,1601.900024,445.477325,354.424988,673.075012,136.449997
31-01-2013,348.6875,1581.599976,439.16217,359,672.075012,136.816666
01-02-2013,346.368744,1609.699951,442.802673,359.950012,674.049988,140.883331
04-02-2013,345.950012,1599.400024,439.186951,359.850006,678.174988,139.600006
05-02-2013,344.487488,1600.349976,433.268066,374.75,680.025024,137.25
06-02-2013,347,1627.849976,433.713837,374.25,685.275024,139.449997
07-02-2013,348.6875,1622.349976,432.351746,374.75,693.575012,136.949997
08-02-2013,348.681244,1587.699951,427.720642,373.049988,711.299988,133.800003
11-02-2013,349.006256,1558.800049,430.122864,374.674988,707.349976,134.183334
12-02-2013,344.40625,1558.949951,433.614777,385.850006,705.025024,136.766663
13-02-2013,348.693756,1532.449951,435.373108,387.725006,717.700012,133.816666
14-02-2013,351.59375,1485.25,424.005859,389.475006,723.849976,129.116669
15-02-2013,348.575012,1475.050049,418.928986,393.100006,721.075012,126.5
18-02-2013,347.512512,1479.800049,419.770996,394.024994,712.674988,126.433334
19-02-2013,352.556244,1511.25,420.216766,396.325012,721.775024,127.25
20-02-2013,352.431244,1508.300049,433.292816,399.649994,726.400024,130.96666
21-02-2013,350.975006,1467.5,425.566071,398.75,725.525024,130.083328
22-02-2013,355.068756,1438.400024,427.250092,405.774994,727.549988,129.75
25-02-2013,364.725006,1444.099976,423.163818,411.024994,736.849976,127.616669
26-02-2013,369.975006,1404.300049,407.883667,399.700012,748.200012,125.349998
27-02-2013,363.818756,1408.550049,411.74704,399.424988,741.599976,126.683334
28-02-2013,363.375,1354.349976,403.103973,401.075012,758.5,123.98333
01-03-2013,364.225006,1424.400024,401.395172,399.674988,750.924988,128.5
04-03-2013,362.931244,1398.75,402.484833,399.549988,756.599976,129.083328
05-03-2013,365.162506,1430.75,409.295288,399.475006,770.075012,129.46666
06-03-2013,371.262512,1424.449951,413.703491,398.75,780.599976,128.083328
07-03-2013,375.543762,1449.349976,414.322632,405.125,794.950012,130.21666
08-03-2013,371.28125,1428.949951,421.653137,408.975006,791.575012,135.133331
11-03-2013,368.21875,1417.949951,418.285065,416.700012,783.099976,133.28334
12-03-2013,364.762512,1417,419.944336,413.674988,780.25,132.25
13-03-2013,357.931244,1374.25,418.532715,418.700012,775.849976,130.183334
14-03-2013,359.262512,1418.800049,425.987061,415.075012,783.849976,132.416672
15-03-2013,359.78125,1406.699951,417.864075,416.799988,785.125,133.350006
18-03-2013,357.59375,1361.050049,413.232971,416.225006,783.474976,130.699997
19-03-2013,357,1364.650024,408.626617,419.524994,773.375,127.416664
